name,price
Item_0,189.39
Item_1,277.28
Item_2,103.11
Item_3,488.72
Item_4,165.91
Item_5,371.85
Item_6,174.57
Item_7,266.47
Item_8,277.08
Item_9,419.35
Item_10,385.26
Item_11,184.69
Item_12,300.62
Item_13,64.91
Item_14,451.22
Item_15,207.10
Item_16,310.37
Item_17,218.11
Item_18,87.78
Item_19,256.73
Item_20,212.42
Item_21,355.34
Item_22,18.62
Item_23,86.37
Item_24,115.17
Item_25,483.56
Item_26,141.32
Item_27,363.52
Item_28,141.06
Item_29,285.12
Item_30,468.19
Item_31,347.26
Item_32,10.33
Item_33,258.59
Item_34,193.68
Item_35,60.17
Item_36,356.04
Item_37,419.06
Item_38,189.36
Item_39,317.49
Item_40,273.92
Item_41,57.09
Item_42,59.85
Item_43,169.42
Item_44,61.76
Item_45,237.81
Item_46,142.44
Item_47,80.65
Item_48,20.56
Item_49,479.93
Item_50,495.35
Item_51,340.06
Item_52,329.31
Item_53,310.14
Item_54,376.46
Item_55,261.16
Item_56,279.87
Item_57,197.99
Item_58,303.81
Item_59,262.89
Item_60,203.44
Item_61,481.58
Item_62,156.02
Item_63,107.71
Item_64,55.10
Item_65,278.07
Item_66,426.86
Item_67,300.27
Item_68,185.19
Item_69,453.47
Item_70,129.61
Item_71,308.21
Item_72,145.76
Item_73,145.13
Item_74,206.97
Item_75,65.19
Item_76,69.93
Item_77,485.66
Item_78,76.09
Item_79,447.27
Item_80,74.65
Item_81,29.09
Item_82,112.32
Item_83,420.97
Item_84,408.43
Item_85,367.88
Item_86,337.26
Item_87,335.85
Item_88,396.31
Item_89,295.49
Item_90,361.70
Item_91,70.40
Item_92,413.38
Item_93,77.78
Item_94,389.33
Item_95,267.02
Item_96,379.04
Item_97,92.59
Item_98,451.32
Item_99,78.68
